Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales after discounts , Profit ,Date,Month Number, Month Name ,Year
Small Business,United States of America, Montana , Low ," $2,301.00 ", $5.00 , $300.00 ," $690,300.00 "," $6,903.00 "," $683,397.00 "," $671,892.00 ",4/1/2014,4, April ,2014
Channel Partners,Canada, Paseo , None ," $2,518.00 ", $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $5,036.00 ",6/1/2014,6, June ,2014
Channel Partners,Canada, Carretera , Low ," $1,445.00 ", $3.00 , $12.00 ," $17,340.00 ", $173.40 ," $17,166.60 "," $12,831.60 ",9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , Low ," $1,295.00 ", $3.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $11,344.20 ",10/1/2014,10, October ,2014
Channel Partners,Canada, Paseo , Low ," $1,295.00 ", $10.00 , $12.00 ," $15,540.00 ", $310.80 ," $15,229.20 "," $2,279.20 ",10/1/2014,10, October ,2014
Channel Partners,Canada, Carretera , Low , $908.00 , $3.00 , $12.00 ," $10,896.00 ", $326.88 ," $10,569.12 "," $7,845.12 ",12/1/2013,12, December ,2013
Channel Partners,Canada, Paseo , Medium ," $2,431.00 ", $10.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 "," $3,403.40 ",12/1/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ," $2,431.00 ", $120.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 "," $(264,006.60)",12/1/2014,12, December ,2014
Channel Partners,Canada, Carretera , Medium ," $2,299.00 ", $3.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 "," $19,035.72 ",10/1/2013,10, October ,2013
Channel Partners,Canada, Paseo , Medium ," $2,299.00 ", $10.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 "," $2,942.72 ",10/1/2013,10, October ,2013
Channel Partners,Canada, Carretera , Medium ," $1,884.00 ", $3.00 , $12.00 ," $22,608.00 "," $1,582.56 "," $21,025.44 "," $15,373.44 ",8/1/2014,8, August ,2014
Channel Partners,Canada, VTT , Medium ," $3,244.50 ", $250.00 , $12.00 ," $38,934.00 "," $2,725.38 "," $36,208.62 "," $(774,916.38)",1/1/2014,1, January ,2014
Channel Partners,Canada, Velo , Medium , $598.00 , $120.00 , $12.00 ," $7,176.00 ", $574.08 ," $6,601.92 "," $(65,158.08)",3/1/2014,3, March ,2014
Small Business,United States of America, Montana , Low ," $2,498.00 ", $5.00 , $300.00 ," $749,400.00 "," $7,494.00 "," $741,906.00 "," $729,416.00 ",9/1/2013,9, September ,2013
Channel Partners,Canada, Amarilla , High ," $3,520.50 ", $260.00 , $12.00 ," $42,246.00 "," $4,224.60 "," $38,021.40 "," $(877,308.60)",4/1/2014,4, April ,2014
Channel Partners,Canada, Carretera , High ," $1,937.00 ", $3.00 , $12.00 ," $23,244.00 "," $2,556.84 "," $20,687.16 "," $14,876.16 ",2/1/2014,2, February ,2014
Channel Partners,Canada, Paseo , High ," $4,026.00 ", $10.00 , $12.00 ," $48,312.00 "," $5,314.32 "," $42,997.68 "," $2,737.68 ",7/1/2014,7, July ,2014
Channel Partners,Canada, VTT , High ," $2,109.00 ", $250.00 , $12.00 ," $25,308.00 "," $3,036.96 "," $22,271.04 "," $(504,978.96)",5/1/2014,5, May ,2014
Channel Partners,Canada, Amarilla , High ," $2,761.00 ", $260.00 , $12.00 ," $33,132.00 "," $3,975.84 "," $29,156.16 "," $(688,703.84)",9/1/2013,9, September ,2013
Channel Partners,Canada, Paseo , High ," $2,222.00 ", $10.00 , $12.00 ," $26,664.00 "," $3,732.96 "," $22,931.04 ", $711.04 ,11/1/2013,11, November ,2013
Midmarket,United States of America, Montana , None , $615.00 , $5.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $6,150.00 ",12/1/2014,12, December ,2014
Midmarket,United States of America, Montana , High , $677.00 , $5.00 , $15.00 ," $10,155.00 "," $1,218.60 "," $8,936.40 "," $5,551.40 ",3/1/2014,3, March ,2014
Enterprise,Canada, Velo , None , $345.00 , $120.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $1,725.00 ",10/1/2013,10, October ,2013
Enterprise,Canada, Velo , Low , $923.00 , $120.00 , $125.00 ," $115,375.00 "," $1,153.75 "," $114,221.25 "," $3,461.25 ",8/1/2014,8, August ,2014
Enterprise,Canada, Carretera , Low , $742.50 , $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 "," $88,728.75 ",4/1/2014,4, April ,2014
Enterprise,Canada, Paseo , Low ," $2,729.00 ", $10.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $307,012.50 ",12/1/2014,12, December ,2014
Enterprise,Canada, VTT , Low ," $2,729.00 ", $250.00 , $125.00 ," $341,125.00 "," $6,822.50 "," $334,302.50 "," $(347,947.50)",12/1/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ," $1,774.00 ", $10.00 , $125.00 ," $221,750.00 "," $6,652.50 "," $215,097.50 "," $197,357.50 ",3/1/2014,3, March ,2014
Enterprise,Canada, Paseo , Low ," $2,009.00 ", $10.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $223,501.25 ",10/1/2014,10, October ,2014
Enterprise,Canada, Velo , Low ," $2,009.00 ", $120.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $2,511.25 ",10/1/2014,10, October ,2014
Enterprise,Canada, Velo , Medium , $952.00 , $120.00 , $125.00 ," $119,000.00 "," $7,140.00 "," $111,860.00 "," $(2,380.00)",2/1/2014,2, February ,2014
Enterprise,Canada, Amarilla , Medium ," $1,645.00 ", $260.00 , $125.00 ," $205,625.00 "," $14,393.75 "," $191,231.25 "," $(236,468.75)",5/1/2014,5, May ,2014
Enterprise,Canada, Velo , Medium , $567.00 , $120.00 , $125.00 ," $70,875.00 "," $6,378.75 "," $64,496.25 "," $(3,543.75)",9/1/2014,9, September ,2014
Enterprise,Canada, Velo , High ," $1,916.00 ", $120.00 , $125.00 ," $239,500.00 "," $23,950.00 "," $215,550.00 "," $(14,370.00)",12/1/2013,12, December ,2013
Enterprise,Canada, VTT , High ," $2,529.00 ", $250.00 , $125.00 ," $316,125.00 "," $31,612.50 "," $284,512.50 "," $(347,737.50)",11/1/2014,11, November ,2014
Enterprise,Canada, Carretera , High ," $2,416.00 ", $3.00 , $125.00 ," $302,000.00 "," $36,240.00 "," $265,760.00 "," $258,512.00 ",9/1/2013,9, September ,2013
Enterprise,Canada, Paseo , High ," $1,583.00 ", $10.00 , $125.00 ," $197,875.00 "," $25,723.75 "," $172,151.25 "," $156,321.25 ",6/1/2014,6, June ,2014
Enterprise,Canada, VTT , High ," $1,583.00 ", $250.00 , $125.00 ," $197,875.00 "," $25,723.75 "," $172,151.25 "," $(223,598.75)",6/1/2014,6, June ,2014
Enterprise,Canada, Amarilla , High ," $1,659.00 ", $260.00 , $125.00 ," $207,375.00 "," $26,958.75 "," $180,416.25 "," $(250,923.75)",1/1/2014,1, January ,2014
Enterprise,Canada, VTT , High ," $2,954.00 ", $250.00 , $125.00 ," $369,250.00 "," $55,387.50 "," $313,862.50 "," $(424,637.50)",11/1/2013,11, November ,2013
Government,Canada, Carretera , None ," $1,618.50 ", $3.00 , $20.00 ," $32,370.00 ", $-   ," $32,370.00 "," $27,514.50 ",1/1/2014,1, January ,2014
Government,Canada, Paseo , None , $292.00 , $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 ",2/1/2014,2, February ,2014
Government,Canada, Paseo , None ," $1,725.00 ", $10.00 , $350.00 ," $603,750.00 ", $-   ," $603,750.00 "," $586,500.00 ",11/1/2013,11, November ,2013
Government,Canada, Paseo , None ," $1,817.00 ", $10.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $18,170.00 ",12/1/2014,12, December ,2014
Government,Canada, VTT , None ," $1,817.00 ", $250.00 , $20.00 ," $36,340.00 ", $-   ," $36,340.00 "," $(417,910.00)",12/1/2014,12, December ,2014
Government,Canada, VTT , Low ," $1,326.00 ", $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 "," $(322,310.82)",3/1/2014,3, March ,2014
Government,United States of America, Montana , Low ," $1,566.00 ", $5.00 , $20.00 ," $31,320.00 ", $626.40 ," $30,693.60 "," $22,863.60 ",10/1/2014,10, October ,2014
Government,Canada, Velo , Low ," $2,092.00 ", $120.00 , $7.00 ," $14,644.00 ", $146.44 ," $14,497.56 "," $(236,542.44)",11/1/2013,11, November ,2013
Government,Canada, VTT , Low , $943.50 , $250.00 , $350.00 ," $330,225.00 "," $3,302.25 "," $326,922.75 "," $91,047.75 ",4/1/2014,4, April ,2014
Government,Canada, Carretera , Low ," $2,852.00 ", $3.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $969,680.00 ",12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ," $2,852.00 ", $10.00 , $350.00 ," $998,200.00 "," $19,964.00 "," $978,236.00 "," $949,716.00 ",12/1/2014,12, December ,2014
Government,Canada, Carretera , Low , $831.00 , $3.00 , $20.00 ," $16,620.00 ", $498.60 ," $16,121.40 "," $13,628.40 ",5/1/2014,5, May ,2014
Government,Canada, Velo , Low ," $3,850.50 ", $120.00 , $20.00 ," $77,010.00 "," $2,310.30 "," $74,699.70 "," $(387,360.30)",4/1/2014,4, April ,2014
Government,Canada, Carretera , Low ," $2,851.00 ", $3.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $10,605.72 ",10/1/2013,10, October ,2013
Government,United States of America, Montana , Medium ," $1,282.00 ", $5.00 , $20.00 ," $25,640.00 "," $2,051.20 "," $23,588.80 "," $17,178.80 ",6/1/2014,6, June ,2014
