Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate, Median , 25th percentile of earnings , 75th percentile of earnings 
1100,GENERAL AGRICULTURE,Agriculture & Natural Resources,128148,90245,74078,2423,3%," $50,000.00 "," $34,000.00 "," $80,000.00 "
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,95326,76865,64240,2266,3%," $54,000.00 "," $36,000.00 "," $80,000.00 "
1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,33955,26321,22810,821,3%," $63,000.00 "," $40,000.00 "," $98,000.00 "
1103,ANIMAL SCIENCES,Agriculture & Natural Resources,103549,81177,64937,3619,4%," $46,000.00 "," $30,000.00 "," $72,000.00 "
1104,FOOD SCIENCE,Agriculture & Natural Resources,24280,17281,12722,894,5%," $62,000.00 "," $38,500.00 "," $90,000.00 "
1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,79409,63043,51077,2070,3%," $50,000.00 "," $35,000.00 "," $75,000.00 "
1106,SOIL SCIENCE,Agriculture & Natural Resources,6586,4926,4042,264,5%," $63,000.00 "," $39,400.00 "," $88,000.00 "
1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,8549,6392,5074,261,4%," $52,000.00 "," $35,000.00 "," $75,000.00 "
1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,106106,87602,65238,4736,5%," $52,000.00 "," $38,000.00 "," $75,000.00 "
1302,FORESTRY,Agriculture & Natural Resources,69447,48228,39613,2144,4%," $58,000.00 "," $40,500.00 "," $80,000.00 "
1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,6%," $52,000.00 "," $37,100.00 "," $75,000.00 "
1401,ARCHITECTURE,Engineering,294692,216770,163020,20394,9%," $63,000.00 "," $40,400.00 "," $93,500.00 "
1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,103740,75798,50530,5525,7%," $46,000.00 "," $32,000.00 "," $71,000.00 "
1901,COMMUNICATIONS,Communications & Journalism,987676,790696,595739,54390,7%," $50,000.00 "," $35,000.00 "," $80,000.00 "
1902,JOURNALISM,Communications & Journalism,418104,314438,235407,20754,7%," $50,000.00 "," $35,000.00 "," $80,000.00 "
1903,MASS MEDIA,Communications & Journalism,211213,170474,125489,15431,9%," $48,000.00 "," $32,000.00 "," $70,000.00 "
1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,186829,147433,111552,10624,7%," $50,000.00 "," $34,000.00 "," $75,000.00 "
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,62141,49609,37261,4609,9%," $50,000.00 "," $34,500.00 "," $75,000.00 "
2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,253782,218248,189950,11945,5%," $65,000.00 "," $45,000.00 "," $90,000.00 "
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,29317,22828,18747,2265,10%," $60,000.00 "," $40,000.00 "," $85,000.00 "
2102,COMPUTER SCIENCE,Computers & Mathematics,783292,656372,561052,34196,5%," $78,000.00 "," $51,000.00 "," $105,000.00 "
2105,INFORMATION SCIENCES,Computers & Mathematics,77805,66393,57604,3704,6%," $68,000.00 "," $46,200.00 "," $95,000.00 "
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,39362,32366,28156,2626,8%," $55,000.00 "," $40,000.00 "," $80,000.00 "
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,51771,44071,35954,2748,6%," $55,000.00 "," $36,000.00 "," $80,000.00 "
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,42325,33388,25780,1941,6%," $40,000.00 "," $26,200.00 "," $60,000.00 "
2300,GENERAL EDUCATION,Education,1438867,843693,591863,38742,5%," $43,000.00 "," $32,000.00 "," $59,000.00 "
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,4037,3113,2468,0,0%," $58,000.00 "," $44,750.00 "," $79,000.00 "
2303,SCHOOL STUDENT COUNSELING,Education,2396,1492,1093,169,11%," $41,000.00 "," $33,200.00 "," $50,000.00 "
2304,ELEMENTARY EDUCATION,Education,1446701,819393,501786,32685,4%," $40,000.00 "," $31,000.00 "," $50,000.00 "
